invoice_id,subscription_id,invoice_date,amount,status,created_at
1,1,2025-02-21,505.29,Paid,2026-01-06 22:47:44.016136
2,1,2025-03-01,505.29,Paid,2026-01-06 22:47:44.016136
3,1,2025-04-01,505.29,Paid,2026-01-06 22:47:44.016136
4,1,2025-05-01,505.29,Paid,2026-01-06 22:47:44.016136
5,1,2025-06-01,505.29,Paid,2026-01-06 22:47:44.016136
6,1,2025-07-01,505.29,Paid,2026-01-06 22:47:44.016136
7,1,2025-08-01,505.29,Paid,2026-01-06 22:47:44.016136
8,1,2025-09-01,505.29,Refunded,2026-01-06 22:47:44.016136
9,1,2025-10-01,505.29,Paid,2026-01-06 22:47:44.016136
10,1,2025-11-01,505.29,Paid,2026-01-06 22:47:44.016136
11,1,2025-12-01,505.29,Paid,2026-01-06 22:47:44.016136
12,2,2025-10-21,100.19,Paid,2026-01-06 22:47:44.016136
13,2,2025-11-01,100.19,Paid,2026-01-06 22:47:44.016136
14,2,2025-12-01,100.19,Paid,2026-01-06 22:47:44.016136
15,3,2025-10-04,425.04,Paid,2026-01-06 22:47:44.016136
16,4,2025-06-19,3272.34,Paid,2026-01-06 22:47:44.016136
17,4,2025-07-01,3272.34,Paid,2026-01-06 22:47:44.016136
18,4,2025-08-01,3272.34,Paid,2026-01-06 22:47:44.016136
19,4,2025-09-01,3272.34,Paid,2026-01-06 22:47:44.016136
20,4,2025-10-01,3272.34,Paid,2026-01-06 22:47:44.016136
21,4,2025-11-01,3272.34,Paid,2026-01-06 22:47:44.016136
22,4,2025-12-01,3272.34,Paid,2026-01-06 22:47:44.016136
23,5,2024-04-04,4193.74,Paid,2026-01-06 22:47:44.016136
24,5,2024-05-01,4193.74,Paid,2026-01-06 22:47:44.016136
25,5,2024-06-01,4193.74,Paid,2026-01-06 22:47:44.016136
26,5,2024-07-01,4193.74,Paid,2026-01-06 22:47:44.016136
27,5,2024-08-01,4193.74,Paid,2026-01-06 22:47:44.016136
28,5,2024-09-01,4193.74,Paid,2026-01-06 22:47:44.016136
29,5,2024-10-01,4193.74,Paid,2026-01-06 22:47:44.016136
30,6,2025-02-21,499.68,Paid,2026-01-06 22:47:44.016136
31,7,2025-12-27,442.75,Paid,2026-01-06 22:47:44.016136
32,8,2024-10-03,55.51,Paid,2026-01-06 22:47:44.016136
33,8,2024-11-01,55.51,Paid,2026-01-06 22:47:44.016136
34,8,2024-12-01,55.51,Paid,2026-01-06 22:47:44.016136
35,8,2025-01-01,55.51,Paid,2026-01-06 22:47:44.016136
36,8,2025-02-01,55.51,Paid,2026-01-06 22:47:44.016136
37,8,2025-03-01,55.51,Paid,2026-01-06 22:47:44.016136
38,8,2025-04-01,55.51,Paid,2026-01-06 22:47:44.016136
39,8,2025-05-01,55.51,Paid,2026-01-06 22:47:44.016136
